ID,Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Data Source,Spatial Scale,Metric,Unit,Country Code,Technology Name
Off-Grid Offshore Wind Energy_Installed electricity capacity_HT,Haiti,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,HT,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_HN,Honduras,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,HN,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_HU,Hungary,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,HU,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_IS,Iceland,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,IS,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_IN,India,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,IN,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_ID,Indonesia,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,ID,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_IR,Iran (Islamic Republic of),,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,IR,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_IQ,Iraq,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,IQ,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_IE,Ireland,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,IE,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_IL,Israel,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,IL,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_IT,Italy,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,IT,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_JM,Jamaica,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,JM,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_JP,Japan,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,JP,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_JO,Jordan,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,JO,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_KZ,Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,KZ,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_KE,Kenya,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,KE,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_KI,Kiribati,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,KI,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_XK,Kosovo,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,XK,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_KW,Kuwait,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,KW,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_KG,Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,KG,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_LA,Lao People's Democratic Republic,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,LA,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_LV,Latvia,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,LV,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_LB,Lebanon,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,LB,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_LS,Lesotho,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,LS,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_LR,Liberia,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,LR,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_LY,Libya,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,LY,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_LT,Lithuania,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,LT,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_LU,Luxembourg,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,LU,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_MG,Madagascar,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,MG,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_MW,Malawi,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,MW,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_MY,Malaysia,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,MY,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_MV,Maldives,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,MV,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_ML,Mali,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,ML,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_MT,Malta,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,MT,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_MH,Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,MH,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_MQ,Martinique,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,MQ,Off-Grid Offshore Wind Energy
