ID,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Unit,Metric,Spatial Scale,Technology Name,Data Source,Country Name,Country Code
Corn Production_Price_FR,118.87,105.81,81.29,89.3,94.44,80.77,74.65,71.54,72.74,67.5,68.64,64.48,85.63,60.65,66.94,85.17,121.5,80.0,79.77,120.98,120.94,139.37,111.11,95.21,101.65,103.14,92.63,102.54,103.42,106.53,143.82,142.19,Producer Price Index (2014-2016 = 100),Price,National,Corn Production,FAOSTAT,France,FR
Corn Production_Price_GM,9.68,8.53,8.78,8.63,20.81,15.82,13.17,13.37,8.85,8.95,12.8,25.6,32.15,39.13,46.25,32.1,48.18,30.21,33.25,34.69,41.67,47.36,51.9,105.31,91.95,102.75,120.38,109.29,116.14,111.65,108.4,105.14,Producer Price Index (2014-2016 = 100),Price,National,Corn Production,FAOSTAT,Gambia,GM
Corn Production_Price_GE,,,,41.35,74.02,88.78,91.05,86.32,98.44,95.97,91.05,92.38,100.9,95.36,89.82,84.28,110.36,91.62,124.54,113.73,121.34,97.17,92.49,99.31,102.68,98.02,102.2,95.96,115.83,130.69,153.75,175.67,Producer Price Index (2014-2016 = 100),Price,National,Corn Production,FAOSTAT,Georgia,GE
Corn Production_Price_DE,114.78,109.3,86.41,88.99,94.47,93.18,77.06,74.8,74.8,75.13,73.19,68.21,78.95,86.53,60.63,86.53,111.79,113.05,76.42,99.16,130.11,132.63,123.16,104.84,99.16,96.0,99.16,104.21,104.34,105.19,140.61,124.42,Producer Price Index (2014-2016 = 100),Price,National,Corn Production,FAOSTAT,Germany,DE
Corn Production_Price_GH,0.49,0.59,0.66,0.98,1.82,2.31,4.53,4.17,3.18,6.59,10.57,9.44,10.54,14.91,23.4,16.42,19.08,32.99,37.92,34.33,45.68,68.0,55.24,80.58,115.29,104.13,78.06,91.51,74.18,76.79,76.29,75.79,Producer Price Index (2014-2016 = 100),Price,National,Corn Production,FAOSTAT,Ghana,GH
Corn Production_Price_GR,55.1,62.71,64.39,67.02,70.04,69.08,69.36,71.71,72.19,73.34,75.49,68.17,69.94,66.16,64.91,75.92,121.4,86.6,72.24,99.39,102.69,115.62,95.11,96.35,100.67,102.98,98.35,101.99,101.4,101.81,133.42,116.55,Producer Price Index (2014-2016 = 100),Price,National,Corn Production,FAOSTAT,Greece,GR
Corn Production_Price_GD,,,58.3,58.3,60.02,60.02,60.02,60.02,,,,,,,,,,,,75.61,113.41,75.61,75.61,122.08,94.51,83.41,75.54,90.65,91.96,105.44,98.2,102.33,Producer Price Index (2014-2016 = 100),Price,National,Corn Production,FAOSTAT,Grenada,GD
Corn Production_Price_GN,14.62,14.92,14.72,19.39,24.66,25.88,26.21,28.39,34.2,29.56,37.18,36.01,35.98,44.98,56.22,62.04,97.88,98.83,104.19,95.5,76.84,88.45,96.33,97.67,98.09,104.24,109.24,114.44,122.15,122.04,122.15,123.91,Producer Price Index (2014-2016 = 100),Price,National,Corn Production,FAOSTAT,Guinea,GN
Corn Production_Price_GW,,,,,,,,92.04,92.04,92.04,92.04,92.04,91.73,91.88,94.34,91.58,97.71,94.95,82.6,86.46,101.85,95.57,91.61,91.97,101.11,106.92,130.03,135.03,135.03,137.96,138.55,139.65,Producer Price Index (2014-2016 = 100),Price,National,Corn Production,FAOSTAT,Guinea-Bissau,GW
Corn Production_Price_HN,10.81,12.42,13.66,22.57,23.02,36.46,40.19,38.38,39.91,44.27,52.05,52.81,52.94,53.27,53.41,62.42,87.84,84.87,81.58,93.2,120.05,108.26,93.9,100.32,101.13,98.56,100.89,93.52,96.85,97.13,97.4,97.68,Producer Price Index (2014-2016 = 100),Price,National,Corn Production,FAOSTAT,Honduras,HN
