ID,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Unit,Metric,Spatial Scale,Technology Name,Data Source,Country Name,Country Code
Sugar Cane Production_Price_RW,8.04,9.1,11.13,13.1,22.76,17.7,30.85,46.03,26.3,18.72,21.75,22.76,22.98,25.7,29.71,35.68,37.68,41.88,44.57,43.82,46.74,51.16,51.51,51.0,49.1,199.89,621.13,599.72,584.16,591.99,579.02,569.07,producer price index,Price,National,Sugar Cane Production,FAOSTAT,Rwanda,RW
Sugar Cane Production_Price_SN,77.9,77.9,77.9,90.89,90.89,90.89,103.87,116.85,103.87,103.87,103.87,116.85,116.85,103.87,103.87,103.87,103.87,121.29,111.62,107.06,116.45,113.7,116.55,115.19,91.76,93.05,129.84,129.84,113.11,108.24,105.93,102.43,producer price index,Price,National,Sugar Cane Production,FAOSTAT,Senegal,SN
Sugar Cane Production_Price_ZA,11.75,19.59,20.62,21.44,21.65,22.47,24.54,25.98,24.95,27.01,32.99,35.46,34.85,32.78,35.67,37.11,40.41,43.51,58.56,67.84,72.58,80.21,81.44,89.48,94.23,116.29,107.63,93.2,106.8,126.39,132.99,139.59,producer price index,Price,National,Sugar Cane Production,FAOSTAT,South Africa,ZA
Sugar Cane Production_Price_LK,26.05,26.51,16.91,16.46,15.77,16.68,19.2,19.88,20.11,24.45,29.94,33.14,36.57,24.91,27.2,32.0,38.76,47.29,50.17,67.51,72.27,83.92,77.32,94.51,100.32,105.17,115.79,122.52,123.65,126.8,129.0,131.21,producer price index,Price,National,Sugar Cane Production,FAOSTAT,Sri Lanka,LK
Sugar Cane Production_Price_SR,0.14,0.28,2.46,6.75,14.75,14.16,11.8,11.8,28.51,55.06,56.04,56.04,72.96,68.19,81.13,86.68,93.41,108.9,100.14,105.58,94.34,92.6,106.33,113.23,111.52,75.25,71.7,78.51,89.7,100.23,108.98,118.23,producer price index,Price,National,Sugar Cane Production,FAOSTAT,Suriname,SR
Sugar Cane Production_Price_TH,49.14,41.28,44.1,57.49,53.44,48.4,50.25,62.16,57.37,54.67,63.14,53.44,57.62,45.21,63.88,84.52,83.91,70.88,86.0,105.77,111.55,117.2,112.65,105.04,104.42,90.54,115.72,93.61,72.97,82.68,89.76,96.89,producer price index,Price,National,Sugar Cane Production,FAOSTAT,Thailand,TH
Sugar Cane Production_Price_TT,43.01,44.08,43.36,45.16,49.1,55.19,55.19,55.19,55.19,60.93,60.93,60.93,60.93,71.05,68.34,78.19,85.09,95.82,101.93,97.83,98.26,90.37,97.8,97.05,92.31,110.64,108.33,97.4,96.81,95.94,95.1,94.27,producer price index,Price,National,Sugar Cane Production,FAOSTAT,Trinidad and Tobago,TT
Sugar Cane Production_Price_US,80.56,77.78,80.56,80.56,83.33,86.11,86.11,83.33,77.78,80.56,88.89,86.11,91.67,86.11,86.11,94.44,88.89,91.67,105.56,127.78,144.44,127.78,97.22,105.56,94.44,100.0,94.44,102.78,116.67,125.23,125.23,136.33,producer price index,Price,National,Sugar Cane Production,FAOSTAT,United States of America,US
Sugar Cane Production_Price_UY,28.64,30.6,31.65,35.47,40.37,36.51,35.63,37.67,31.95,32.33,30.14,25.75,26.53,31.82,31.33,31.74,39.64,48.69,56.71,67.26,81.7,84.25,87.98,95.95,102.05,102.0,99.49,109.35,114.36,111.94,112.37,112.79,producer price index,Price,National,Sugar Cane Production,FAOSTAT,Uruguay,UY
Sugar Cane Production_Price_VN,34.62,27.87,31.73,34.83,41.93,48.77,47.28,46.28,45.74,45.82,50.54,39.65,44.43,55.72,40.17,41.83,45.18,46.98,54.58,73.62,86.45,109.1,100.95,95.49,101.19,103.32,102.11,92.88,84.45,83.38,91.85,100.33,producer price index,Price,National,Sugar Cane Production,FAOSTAT,Viet Nam,VN
Sugar Cane Production_Price_ZW,0.04,0.04,0.04,1.1,1.25,1.15,1.85,2.35,4.11,6.66,11.34,17.01,274.77,619.22,2449.92,77135.58,231040.89,,,,,,,,98.71,101.29,105.71,116.09,,,,,producer price index,Price,National,Sugar Cane Production,FAOSTAT,Zimbabwe,ZW
