ID,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Unit,Metric,Spatial Scale,Technology Name,Data Source,Country Name,Country Code
Soybean Production_Price_KZ,,,,5.72,15.15,18.03,18.15,21.75,24.14,21.78,23.59,23.04,30.34,31.54,31.67,42.98,44.34,54.5,63.64,64.78,71.27,77.98,98.69,98.53,95.72,105.75,136.43,137.17,190.17,203.96,234.07,264.18,producer price index,Price,National,Soybean Production,FAOSTAT,Kazakhstan,KZ
Soybean Production_Price_KG,,,,,,,,40.52,55.74,70.88,76.07,77.62,80.53,79.21,87.55,99.85,123.57,144.69,98.82,96.45,116.23,123.0,116.73,120.16,94.86,84.98,88.68,84.43,86.0,87.45,88.3,89.17,producer price index,Price,National,Soybean Production,FAOSTAT,Kyrgyzstan,KG
Soybean Production_Price_LA,6.16,6.38,6.74,7.1,7.58,9.7,12.9,32.33,40.43,27.43,38.21,39.22,43.14,46.41,49.04,57.92,67.44,81.26,85.09,95.24,74.74,83.34,90.77,96.39,99.46,104.15,101.49,103.62,107.04,105.96,103.83,101.77,producer price index,Price,National,Soybean Production,FAOSTAT,Lao People's Democratic Republic,LA
Soybean Production_Price_LV,,51.21,62.47,59.91,59.91,65.54,65.54,62.47,59.91,59.91,56.84,56.84,62.85,60.72,56.22,72.47,84.17,108.62,75.68,95.41,131.96,137.52,107.13,87.76,103.62,108.62,109.88,106.4,118.12,118.12,118.12,118.12,producer price index,Price,National,Soybean Production,FAOSTAT,Latvia,LV
Soybean Production_Price_MG,9.99,11.07,12.35,12.67,11.0,13.18,11.3,11.24,10.56,10.5,11.47,13.07,14.42,10.91,12.05,63.18,78.95,90.99,131.38,92.95,104.6,103.28,110.56,107.65,96.39,95.96,111.85,112.22,109.49,109.45,109.41,109.38,producer price index,Price,National,Soybean Production,FAOSTAT,Madagascar,MG
Soybean Production_Price_MW,,,,,,4.3,4.58,3.79,8.05,8.28,10.47,13.83,14.03,14.62,19.11,23.52,22.94,31.17,40.02,33.89,40.98,66.45,72.25,79.64,93.95,126.41,115.86,175.84,201.19,199.19,188.59,178.0,producer price index,Price,National,Soybean Production,FAOSTAT,Malawi,MW
Soybean Production_Price_MY,43.06,43.32,43.89,44.6,44.99,45.5,45.69,47.49,47.49,49.81,48.39,50.26,51.99,56.01,55.98,62.48,85.04,97.49,78.97,106.42,132.1,118.07,110.76,110.51,91.18,98.31,98.72,98.35,103.1,103.1,103.1,103.1,producer price index,Price,National,Soybean Production,FAOSTAT,Malaysia,MY
Soybean Production_Price_ML,93.63,93.45,89.9,56.43,77.71,78.15,73.81,69.23,63.9,56.75,57.19,62.15,52.54,79.94,85.14,72.43,90.36,92.65,85.03,82.02,105.76,103.37,108.37,109.95,94.5,95.55,99.74,106.18,98.11,95.6,94.56,92.99,producer price index,Price,National,Soybean Production,FAOSTAT,Mali,ML
Soybean Production_Price_MX,21.1,17.01,16.56,14.26,24.53,35.4,37.09,38.05,41.01,30.01,30.74,33.82,49.89,45.25,38.21,43.38,60.61,75.78,82.02,91.12,104.54,117.36,104.96,89.94,96.52,113.54,116.71,113.08,114.08,131.56,157.56,183.56,producer price index,Price,National,Soybean Production,FAOSTAT,Mexico,MX
Soybean Production_Price_MA,113.0,113.0,113.0,97.73,97.73,97.73,97.73,97.73,98.16,89.05,84.33,86.06,91.94,95.01,101.52,104.66,120.94,131.36,115.84,114.16,118.0,116.86,117.32,106.92,91.58,101.5,98.21,100.23,101.39,101.93,102.36,102.78,producer price index,Price,National,Soybean Production,FAOSTAT,Morocco,MA
Soybean Production_Price_MM,1.33,1.85,2.43,4.74,4.74,6.34,9.31,11.67,16.25,16.91,23.12,37.3,37.3,37.3,41.37,66.83,73.46,66.34,41.33,70.35,72.89,85.18,89.15,96.44,99.18,104.38,138.95,111.16,111.16,186.68,197.86,220.08,producer price index,Price,National,Soybean Production,FAOSTAT,Myanmar,MM
Soybean Production_Price_NP,12.07,14.89,17.0,18.37,19.68,20.93,22.68,25.33,27.76,28.44,29.2,31.31,33.68,33.93,33.82,36.15,37.95,39.98,51.18,58.24,64.56,76.43,78.0,89.69,103.15,107.16,110.83,141.22,93.02,91.75,100.46,104.72,producer price index,Price,National,Soybean Production,FAOSTAT,Nepal,NP
Soybean Production_Price_NI,7.53,7.96,11.44,13.42,15.07,17.04,18.25,21.35,22.77,23.81,24.65,22.93,23.0,26.99,29.21,40.73,34.87,35.6,35.96,54.77,82.15,91.94,90.65,101.36,102.55,96.09,94.53,91.39,77.62,75.14,73.81,70.53,producer price index,Price,National,Soybean Production,FAOSTAT,Nicaragua,NI
Soybean Production_Price_NG,3.86,5.14,13.4,12.44,18.36,30.02,27.49,32.04,38.83,33.27,47.19,46.57,51.24,61.77,68.04,65.33,64.48,83.26,71.35,62.31,65.35,68.71,68.28,92.4,95.33,112.26,139.95,139.07,150.13,168.04,168.35,173.83,producer price index,Price,National,Soybean Production,FAOSTAT,Nigeria,NG
Soybean Production_Price_MK,,18.56,46.8,47.08,70.25,70.37,70.25,95.41,61.77,67.15,67.21,77.6,102.28,111.01,114.64,119.77,91.88,113.86,114.65,115.44,150.94,186.43,189.06,131.57,84.14,84.28,88.51,96.08,111.26,106.17,102.13,126.35,producer price index,Price,National,Soybean Production,FAOSTAT,North Macedonia,MK
Soybean Production_Price_PK,11.45,12.44,13.69,13.69,13.74,17.48,21.56,26.9,28.62,29.62,28.28,33.1,35.29,35.84,39.82,47.79,50.77,51.77,63.83,70.54,83.19,83.09,92.5,97.63,97.75,104.62,110.49,116.94,126.48,132.27,135.91,,producer price index,Price,National,Soybean Production,FAOSTAT,Pakistan,PK
Soybean Production_Price_PA,49.9,50.1,51.84,53.59,55.15,51.07,52.82,54.37,51.84,54.76,49.71,51.07,50.68,50.68,48.22,51.36,50.71,73.6,77.11,81.26,80.13,102.42,105.26,94.71,101.7,103.58,100.4,96.07,108.62,105.09,102.92,100.76,producer price index,Price,National,Soybean Production,FAOSTAT,Panama,PA
Soybean Production_Price_PY,10.16,12.53,16.72,18.87,16.13,22.96,26.62,26.67,18.39,34.95,22.96,32.91,70.44,70.71,56.46,53.18,67.32,85.88,87.44,86.31,93.13,109.37,100.13,109.32,90.23,100.45,92.6,92.49,93.57,109.97,105.29,105.42,producer price index,Price,National,Soybean Production,FAOSTAT,Paraguay,PY
Soybean Production_Price_PE,10.94,17.25,28.6,40.8,39.96,40.38,42.91,50.06,53.84,47.95,46.27,47.11,47.11,43.33,52.16,46.69,57.21,74.87,70.25,74.87,80.34,95.06,92.12,91.87,102.3,105.83,84.97,89.16,91.46,90.99,104.05,105.93,producer price index,Price,National,Soybean Production,FAOSTAT,Peru,PE
Soybean Production_Price_PH,41.45,39.03,42.17,45.7,44.55,49.27,53.06,60.88,45.79,55.35,66.7,49.61,55.78,85.7,94.8,86.77,84.33,86.56,91.2,88.12,89.49,85.47,94.12,100.37,100.66,98.97,83.88,86.55,84.09,81.62,115.72,97.27,producer price index,Price,National,Soybean Production,FAOSTAT,Philippines,PH
Soybean Production_Price_PL,,,,,,,,,,,,,68.68,58.42,52.21,63.08,64.77,85.64,73.08,86.31,124.2,133.86,99.48,89.15,101.64,109.21,106.44,104.89,105.23,105.98,107.44,108.89,producer price index,Price,National,Soybean Production,FAOSTAT,Poland,PL
Soybean Production_Price_KR,26.88,30.34,35.13,37.78,43.71,46.22,46.03,51.23,70.52,65.08,59.8,61.72,71.41,81.35,68.27,146.93,52.31,64.49,87.43,85.08,90.71,95.29,95.05,93.21,101.65,105.14,107.95,108.87,92.09,95.15,102.67,102.08,producer price index,Price,National,Soybean Production,FAOSTAT,Republic of Korea,KR
Soybean Production_Price_MD,,,,4.74,6.52,6.2,6.41,6.54,13.0,13.67,15.76,19.36,20.35,21.64,23.52,22.45,39.7,25.79,24.06,45.6,45.8,63.74,91.55,86.63,105.31,108.07,103.55,98.56,87.74,107.05,123.36,137.62,producer price index,Price,National,Soybean Production,FAOSTAT,Republic of Moldova,MD
Soybean Production_Price_RO,,,1.95,3.07,3.83,5.43,13.83,12.92,17.17,26.59,41.88,51.48,51.01,57.03,45.54,41.2,56.39,70.12,69.4,88.92,93.98,123.61,132.29,103.37,96.14,100.48,96.87,97.59,93.98,106.99,146.75,186.51,producer price index,Price,National,Soybean Production,FAOSTAT,Romania,RO
Soybean Production_Price_RU,,0.09,0.36,1.32,4.2,4.0,3.97,6.1,15.26,14.58,19.48,24.27,24.59,32.18,32.66,30.69,36.97,58.56,56.26,57.46,58.33,65.92,75.61,85.62,96.01,118.37,106.64,114.0,111.45,135.5,206.39,277.27,producer price index,Price,National,Soybean Production,FAOSTAT,Russian Federation,RU
Soybean Production_Price_RW,7.52,7.36,7.08,5.47,21.31,85.23,63.5,48.8,38.35,33.45,29.62,31.11,33.89,40.5,46.09,50.72,59.66,77.13,77.38,73.1,81.28,84.7,90.78,106.6,101.54,91.86,102.03,96.7,123.19,125.95,103.73,98.4,producer price index,Price,National,Soybean Production,FAOSTAT,Rwanda,RW
Soybean Production_Price_RS,,,,,,,,,,,,,,,,41.95,61.13,64.47,67.42,75.96,87.4,157.09,115.01,99.89,100.94,99.17,118.62,93.25,91.34,106.01,177.27,248.53,producer price index,Price,National,Soybean Production,FAOSTAT,Serbia,RS
Soybean Production_Price_SK,,,79.31,101.24,94.63,95.83,112.55,112.35,102.44,100.19,90.9,89.56,91.28,91.81,88.87,78.51,77.97,93.93,82.9,95.43,102.35,129.06,115.96,103.75,97.99,98.26,103.06,101.8,92.54,98.51,143.78,96.77,producer price index,Price,National,Soybean Production,FAOSTAT,Slovakia,SK
Soybean Production_Price_SI,,56.45,52.41,55.2,42.61,50.52,53.23,54.99,58.55,22.58,27.22,59.48,67.5,62.35,55.9,67.57,73.71,83.51,93.31,103.1,112.9,128.87,123.13,103.81,94.58,101.61,103.03,100.35,94.77,103.71,163.58,223.45,producer price index,Price,National,Soybean Production,FAOSTAT,Slovenia,SI
Soybean Production_Price_ZA,13.16,15.71,15.57,15.64,16.93,21.85,25.32,19.95,21.9,23.41,22.63,36.61,45.28,38.85,23.19,26.71,42.66,73.3,58.02,46.03,57.82,67.07,85.4,101.03,86.15,112.82,88.19,80.82,79.11,85.22,116.01,146.8,producer price index,Price,National,Soybean Production,FAOSTAT,South Africa,ZA
Soybean Production_Price_ES,59.58,26.07,33.44,41.17,41.32,38.27,41.42,39.13,41.09,44.76,49.48,39.26,44.93,49.55,45.35,44.86,51.39,57.31,64.77,68.61,70.56,92.65,93.15,103.63,100.0,96.37,95.53,100.67,99.81,101.7,101.7,101.93,producer price index,Price,National,Soybean Production,FAOSTAT,Spain,ES
Soybean Production_Price_LK,9.53,10.98,11.64,11.92,13.98,16.12,17.33,21.33,21.28,23.49,35.02,32.42,26.88,23.76,29.46,32.63,36.9,41.83,56.72,55.73,44.2,60.28,67.07,71.76,98.33,129.91,62.58,61.63,80.94,76.2,80.1,84.01,producer price index,Price,National,Soybean Production,FAOSTAT,Sri Lanka,LK
Soybean Production_Price_SR,0.07,0.11,0.16,0.53,3.1,3.92,5.87,10.05,13.2,20.17,37.5,37.48,41.81,38.51,29.34,27.21,30.85,42.62,31.76,52.56,53.77,67.58,90.96,88.54,83.09,128.37,117.73,94.26,168.35,194.39,343.15,443.11,producer price index,Price,National,Soybean Production,FAOSTAT,Suriname,SR
Soybean Production_Price_CH,216.53,216.53,195.32,174.22,159.81,158.9,158.23,144.5,145.53,77.24,82.8,85.75,85.64,91.99,85.19,85.75,92.78,127.67,95.16,96.71,107.9,109.81,101.11,102.2,99.49,98.32,101.44,94.55,105.7,105.62,105.6,105.59,producer price index,Price,National,Soybean Production,FAOSTAT,Switzerland,CH
Soybean Production_Price_SY,9.21,38.77,38.77,38.77,38.77,50.27,38.77,38.77,38.77,38.77,38.77,38.77,79.95,87.38,85.77,95.53,121.87,164.41,182.96,196.14,225.93,204.5,139.72,128.51,102.83,68.65,81.04,94.59,110.29,110.22,110.24,110.58,producer price index,Price,National,Soybean Production,FAOSTAT,Syrian Arab Republic,SY
Soybean Production_Price_TJ,,,0.46,0.85,2.16,6.62,8.42,11.69,11.93,12.38,16.38,26.85,23.62,19.21,37.63,41.7,71.08,71.08,81.24,91.39,111.7,121.86,110.46,126.06,97.62,76.32,73.4,71.89,84.07,87.7,91.57,95.44,producer price index,Price,National,Soybean Production,FAOSTAT,Tajikistan,TJ
Soybean Production_Price_TH,48.92,50.15,51.31,51.44,52.22,57.26,55.9,61.07,57.13,59.59,60.62,67.21,69.73,70.31,65.6,69.28,97.72,99.91,89.64,99.27,96.1,118.85,119.63,101.53,96.23,102.24,101.4,106.51,103.21,109.93,109.93,111.75,producer price index,Price,National,Soybean Production,FAOSTAT,Thailand,TH
Soybean Production_Price_TL,,,,,,,,,,,,,,,,,,32.7,61.32,77.9,87.82,93.08,96.09,98.22,100.04,101.74,103.4,105.04,106.68,110.22,114.69,119.16,producer price index,Price,National,Soybean Production,FAOSTAT,Timor-Leste,TL
Soybean Production_Price_TG,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,98.17,117.35,100.91,101.08,96.92,92.75,producer price index,Price,National,Soybean Production,FAOSTAT,Togo,TG
Soybean Production_Price_TR,0.11,0.21,0.86,0.85,1.19,2.38,4.51,7.17,10.77,13.02,19.96,29.99,37.73,42.29,42.61,43.5,45.28,54.04,62.76,76.26,81.57,95.05,88.15,100.99,96.95,102.06,116.96,153.18,193.26,231.29,382.99,476.51,producer price index,Price,National,Soybean Production,FAOSTAT,Türkiye,TR
Soybean Production_Price_UA,,,,0.61,3.12,4.31,4.0,5.23,8.27,8.51,12.75,13.74,13.95,18.74,15.92,15.29,24.26,25.29,38.2,37.2,41.86,48.89,49.51,66.44,106.49,127.07,135.56,136.83,116.4,153.14,221.2,141.91,producer price index,Price,National,Soybean Production,FAOSTAT,Ukraine,UA
